,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mehrān,33.1222,46.1646,75.23600000000008,27,1,2.0,IR,1666753662
1,Vaini,-21.2,-175.2,75.36200000000005,64,75,3.09,TO,1666753665
2,Hithadhoo,-0.6,73.0833,82.27400000000002,74,57,5.32,MV,1666753666
3,Kauhajoki,62.4333,22.1833,37.38200000000002,99,100,1.7,FI,1666753667
4,Najrān,17.4924,44.1277,61.12400000000001,27,0,0.17,SA,1666753669
5,Butaritari,3.0707,172.7902,82.32800000000006,73,65,2.35,KI,1666753670
6,Rikitea,-23.1203,-134.9692,72.86000000000008,81,63,5.53,PF,1666753671
7,Mataura,-46.1927,168.8643,51.47600000000009,97,100,1.79,NZ,1666753674
8,Ankazoabo,-22.2833,44.5167,72.68000000000004,60,97,0.9,MG,1666753675
9,Dikson,73.5069,80.5464,24.583999999999993,73,100,0.7,RU,1666753677
10,Sioux Lookout,50.1001,-91.917,30.59600000000005,80,71,4.1,CA,1666753678
11,Narragansett,41.4501,-71.4495,67.208,75,100,2.57,US,1666753679
12,Riyadh,24.6877,46.7219,62.74400000000007,20,0,2.85,SA,1666753500
13,Klaksvík,62.2266,-6.589,45.518000000000086,93,73,4.19,FO,1666753682
14,Madang,-5.2246,145.7966,87.22400000000002,59,100,3.25,PG,1666753684
15,Albany,42.6001,-73.9662,65.642,91,38,0.89,US,1666753686
16,Trelew,-43.249,-65.3051,60.96200000000006,41,72,7.2,AR,1666753687
17,Cherskiy,68.75,161.3,5.252000000000077,92,100,2.14,RU,1666753689
18,Coahuayana Viejo,18.7333,-103.6833,76.96400000000003,92,39,0.68,MX,1666753691
19,Wenling,28.3669,121.36,68.25200000000008,62,93,2.51,CN,1666753692
20,Gijang,35.2442,129.2139,60.69199999999999,57,99,3.75,KR,1666753693
21,Grootfontein,-19.5667,18.1167,70.44800000000004,38,88,2.01,NA,1666753696
22,Puerto Ayora,-0.7393,-90.3518,65.55200000000008,95,65,2.24,EC,1666753697
23,Bouaflé,6.9904,-5.7442,70.97000000000006,97,96,1.17,CI,1666753699
24,Avarua,-21.2078,-159.775,77.05400000000006,57,100,3.09,CK,1666753700
25,Hastings,50.8552,0.5729,62.52800000000006,88,90,8.13,GB,1666753701
26,Karpogory,64.0019,44.4451,28.52600000000009,96,30,2.03,RU,1666753704
27,Entre Rios,-11.9419,-38.0844,71.61800000000008,94,100,1.03,BR,1666753706
28,Olinda,-8.0089,-34.8553,80.33000000000004,69,75,3.09,BR,1666753707
29,Punta Arenas,-53.15,-70.9167,46.508,66,100,4.12,CL,1666753606
30,Busselton,-33.65,115.3333,63.21200000000006,55,74,3.55,AU,1666753709
31,Pangai,-19.8,-174.35,71.43800000000005,71,100,5.89,TO,1666753711
32,East London,-33.0153,27.9116,63.71600000000001,70,100,3.62,ZA,1666753712
33,Smalininkai,55.0735,22.5793,50.75600000000003,94,97,3.77,LT,1666753714
34,Chimoio,-19.1164,33.4833,67.316,88,0,0.71,MZ,1666753715
35,Laguna,38.421,-121.4238,64.04000000000002,57,0,2.06,US,1666753716
36,Khatanga,71.9667,102.5,-3.009999999999984,99,96,1.22,RU,1666753718
37,Pemba,-12.974,40.5178,74.24600000000005,80,43,5.54,MZ,1666753719
38,Kapaa,22.0752,-159.319,80.924,83,40,9.26,US,1666753720
39,Yellowknife,62.456,-114.3525,21.722000000000037,86,100,4.12,CA,1666753722
40,Necochea,-38.5473,-58.7368,61.66400000000003,68,100,4.8,AR,1666753723
41,George Town,5.4112,100.3354,86.9,77,40,2.06,MY,1666753724
42,Qaanaaq,77.484,-69.3632,17.72600000000009,94,100,5.12,GL,1666753726
43,Maceió,-9.6658,-35.7353,74.642,88,0,2.06,BR,1666753727
44,Narsaq,60.9167,-46.05,22.31600000000001,70,17,2.96,GL,1666753728
45,Longyearbyen,78.2186,15.6401,12.038000000000043,79,20,4.63,SJ,1666753731
46,New Norfolk,-42.7826,147.0587,58.91000000000008,81,100,0.89,AU,1666753732
